name,age,married,working,past_deliveries,delivery_time
Gaurav Sha,63,No,No,4,10-11
Harrison Prabhakar,31,No,No,5,9-10
Logan Mukhopadhyay,33,No,Yes,5,2-3
Hamsini Munshi,19,Yes,No,5,10-11
Hardik Bhakta,35,No,No,5,4-5
Balhaar Kala,23,No,Yes,4,11-12
Jagdish Atwal,56,No,No,1,4-5
Eesha Chadha,53,Yes,No,1,1-2
Radhika Bhatnagar,32,No,No,2,1-2
Saanvi Bhargava,39,No,No,5,11-12
Vinaya Murty,48,Yes,Yes,5,9-10
Gautam Ratta,21,No,Yes,2,4-5
Ira Doshi,20,Yes,No,3,11-12
Turvi Sunder,49,Yes,No,0,1-2
Anusha Varughese,31,No,Yes,4,11-12
Eesha Chana,25,Yes,No,5,2-3
Lohit Sami,19,Yes,No,4,10-11
Avi Basu,57,No,Yes,4,12-1
Gopal Swaminathan,31,No,No,3,10-11
Aarnav Pingle,37,Yes,No,0,10-11
Prisha Minhas,70,No,Yes,3,2-3
Yoshita Mitter,60,Yes,No,5,1-2
Amaira Dhaliwal,69,Yes,Yes,3,10-11
Leela Oommen,49,No,No,4,2-3
Ayush Shah,45,Yes,Yes,3,1-2
Omaja Dada,43,Yes,Yes,3,12-1
Leela Ray,26,Yes,No,5,1-2
Sanya Sekhon,22,No,No,5,11-12
Ayaan Lalla,66,No,Yes,3,12-1
Gaurika Dhawan,22,Yes,No,5,1-2
Advaith Konda,31,No,Yes,5,9-10
Janani Gera,21,Yes,Yes,4,1-2
Aachal Rana,49,Yes,Yes,3,9-10
Ekaraj Halder,34,No,No,5,11-12
Nilima Sinha,56,No,Yes,4,4-5
Gautam Khanna,41,No,Yes,4,4-5
Reva Suri,66,Yes,Yes,5,9-10
Zayyan Master,33,No,Yes,5,11-12
Harita Shankar,24,Yes,No,3,10-11
Megha Bhardwaj,62,No,No,2,10-11
Wakeeta Joshi,21,No,Yes,4,9-10
Ladli Khatri,46,No,Yes,4,1-2
Qabil Choudhury,25,Yes,Yes,3,1-2
Lohit Sankar,59,Yes,No,5,1-2
Ishanvi Srinivasan,54,Yes,Yes,4,10-11
Tarak Dugal,57,Yes,Yes,0,2-3
Urvi Krishnamurthy,62,Yes,No,2,4-5
Panini Thaker,69,Yes,Yes,2,4-5
Aadi Bal,33,No,No,1,1-2
Arin Soni,60,Yes,Yes,3,4-5
Yashawini Dugal,49,Yes,No,5,12-1
Laban Khatri,29,Yes,Yes,1,10-11
Kai Ramachandran,57,Yes,No,4,1-2
Advika Warrior,64,No,Yes,4,9-10
Maanav Dhar,28,Yes,No,0,12-1
Praneel Jain,44,No,No,5,3-4
Daniel Konda,30,No,Yes,2,10-11
Bhanumati Kurian,55,Yes,Yes,2,3-4
Maanas Kata,23,No,No,5,3-4
Yachana Murthy,53,Yes,No,5,2-3
Alexander Sagar,20,Yes,No,4,9-10
Vanya Sharma,67,No,No,4,11-12
Saumya Bassi,28,No,No,0,3-4
Neha Puri,60,Yes,No,4,9-10
Christopher Nayak,68,No,Yes,4,2-3
Yashawini Dugal,49,Yes,No,5,12-1
Fitan Basak,69,No,No,2,12-1
Jacob Jha,53,No,Yes,1,11-12
Aarna Gill,45,Yes,No,2,1-2
Amara Tiwari,26,Yes,No,4,12-1
Theodore Sinha,52,No,Yes,3,9-10
Girish Bail,52,Yes,No,5,12-1
Avni Char,47,No,Yes,2,10-11
Irya Sachar,64,Yes,No,5,3-4
Patrick Mohanty,46,Yes,No,0,4-5
Chasmum Din,36,Yes,No,4,3-4
Nikita Sandhu,45,Yes,No,4,12-1
Sachi Gopal,27,Yes,No,5,11-12
Tristan Saxena,57,Yes,No,5,9-10
Kiaan Dugal,19,No,No,5,9-10
Jagvi Saha,70,Yes,No,5,12-1
Harini Bajaj,65,No,Yes,3,1-2
Jasmit Bora,43,No,No,3,4-5
Odika Natt,61,No,Yes,3,10-11
Pahal Prabhu,58,Yes,No,4,11-12
Lohit Rau,42,Yes,No,0,12-1
Vincent Chadha,48,No,No,0,11-12
Chakradhar Vig,68,No,Yes,5,11-12
Meghana Shanker,27,No,Yes,4,10-11
Gautami Behl,44,Yes,Yes,3,11-12
Jack Gopal,70,No,No,5,3-4
Abhiram Parmer,57,No,Yes,4,2-3
